"","Cebpa","EgrNab","Eklf","Fli1","Fog1","Gata1","Gata2","Gfi1","Pu1","Scl","cJun"
"E1306_355",1.36340488061732,0,0,0.0216976689631033,0,0.0128521735173252,0.0407870737083717,0,2.20256583816379,0,0
"E1626_632",1.56189154360243,0,0.0054365201510994,0.053635113695734,0,0,0,2.1139890763812,2.51550115383765,0.0698388539584356,0.00836137048355677
"E935_223",2.32651891373163,0.00499261232429356,0,0,0,0.012862456459796,0,0,2.42337534501803,0,0
"E764_434",0.000880997346198564,2.20547241825452,0.00692339452809838,0,0.0813242672369622,0,0,0.0143954228198781,2.81245139715232,0,1.92472048040882
"E1097_712",2.25920989086273,0,0.0273980673174468,0.000514551633269938,0.0133992427336275,0,0.00599454300489285,2.37961083631312,2.39912124887192,0,0
"E1445_536",2.3459786196535,0,0,0,0,0,0.00984222258269337,1.94274583872506,2.02254514921435,0,0
"E588_738",0.00182908119260229,2.09851384162699,0.0387223790924287,0.0101839400269484,0,0.0206734102396328,0,0.0121360221907715,2.14829191024637,0.0621010917446835,2.38789976048648
"E356_409",0,0.450253829279585,0,0,0,0,0,1.95623399363504,0,0,0
"E1786_10",0,0.0686325234439389,0,0,0,0.214388373693257,0.315073806004256,0,0.794804772866088,0,0
"E1135_16",1.09907469552627,0.0282845311624686,0,0,0,0.210736206168082,0.565861542600322,0,0,0.0096360079253184,1.03253665625426
"E1298_788",2.49691015761663,0,0.00718213810731368,0.053668463207174,0.00182537413349575,0,0.0293416614004834,2.27080925317171,0,0,0
"E1080_675",0.0149265388724415,1.75384629922447,0,0,0,0.000803067856202938,0,0,1.65952066789446,0,2.5157512835441
"E1962_758",0,1.14904568001102,0,0,0.0703277896788544,0,0.103458093504311,0,0,0,1.48675787744015
"E1889_200",0.0152990034214963,2.15431533387859,0,0.0364139164564243,0.0444536464979736,0.0138800998590818,0.0379079138265016,0,2.05136411704263,0,2.34016554367415
"E1585_554",1.75591568799311,0,0,0.0086042404826163,0,0.0053714639176119,0.00315032542927884,2.25358301421121,0,0,0.000370987352596781
"E334_626",0,0.00616669530666318,0,0.0937357547095112,0,0,0.0372161459164122,2.07522076899683,0,0,0.0210793113458159
"E12_533",0,0,0,0,0.0100068856514497,0,0,2.3644111344917,2.23273028757118,0,0
"E993_774",0.0174838054258134,2.01504112502867,0.00628418155992125,0.00427388295850996,0.153982541627871,0,0.0281285772730494,0,2.55113061257592,0,2.49823551589609
"E353_556",0,2.55132463672505,0,0,0,0,0,0,2.22192162641078,0,1.47505056045827
"E1604_215",0,1.51032232994861,0,0.0219513815251317,0,0,0,0.0171133958650024,2.4802608478137,0.00631736739436569,2.34501926015237
"E269_128",0,0.298159617289526,0,0.00215746393010489,0.00675506862091632,0,0.118877038099125,0,0,0.0040479108079506,1.7846802040701
"E975_555",0,1.77507245045569,0.0765973251346367,0,0.127169836991477,0.00272528638681882,0,0,0,0,2.24213407161885
