"","Dbx1","Dbx2","Irx3","Nkx22","Nkx61","Nkx62","Olig2","Pax6"
"E1857_60",0.654933278055693,0.160277376014716,0,0,1.17101206370182,0.60091670081937,1.32972024658727,1.97911344426658
"E1607_331",0.0387790567541194,1.87574621899113,1.69192272368327,0,0.0378393362245095,1.60973046402493,0.145533698157611,1.77874229447526
"E740_397",0,0,0,2.50179998124875,2.09938609451719,0,0,0
"E460_198",0,0.0250025204013225,0,0,0,0.114925995351118,1.99735713079694,1.45660832273765
"E127_65",0.720192782131659,0.721337798883764,0,0.128622479043475,1.01782263998641,0.802297837990855,1.60084512392302,1.91424010445628
"E1122_57",0.14608748677249,0.125945031395553,0,0,0,1.35133380111444,1.71714005481431,0
"E1691_397",0.0131187256366985,0,0,2.08547941085187,0,0,0,0
"E258_205",0,0,0,0,2.14854064503825,0.0149234048185176,0,0
"E1586_445",0,0,2.12477859497287,0,0,0,0,1.33911816023585
"E1165_441",0,0,1.94230131542851,0.025022264952337,1.35975483806769,0,0,0
"E203_43",1.22568367241516,0.52418812185677,0.415717919868583,0,0,0.42758787259935,0,0
"E861_279",0.104683776105589,0.110271530336788,1.40833013299252,0,0,0.260133109938342,0,1.8407811325792
"E873_300",0.0509770045265558,0,0.355149538783666,2.25122976889501,1.88017844593853,0,0.443019128105162,0
"E162_120",0,0,0,1.49851323145759,0,0.0122622309182617,0,0.106225216099581
"E176_332",0.000712489358575856,0.000387334211837456,2.14802704486596,0,1.85353866346263,0,0.0270757634968891,0
"E1662_54",0,0.132847134627964,0,1.33087127289588,1.94387754646063,0.264995133284021,1.31624712860033,1.61495380696105
"E1817_13",0.440135304174043,0.458231495836805,0,0,0,0.67726934760459,0,0
"E766_338",0,0,0.0272959984676504,0,2.036287328572,0,0,1.94722629432768
"E1810_465",0,0.0123179227285522,0,1.29119092927756,1.72532817042043,0,0.111726792975675,0.135812585277082
"E1201_450",0,0,1.67184394028224,0,0,0,0,0
"E793_435",0.0245595551621195,1.99330805814661,1.66209556155882,0,0,1.90457625927922,0,0
"E529_466",0,0.00603846473184182,1.74920351083357,0,2.13699268006716,0.022764474535505,0,1.80743569956215
"E526_50",0,0,0,0,0,0.505755460531287,0,0
"E330_377",0,0,0.0345940364864335,0,2.06048946573349,0,2.24358423454187,2.11702550487065
"E741_251",0,0,0,0.0514079359959334,1.87955164743088,0.0236784396503141,1.82359336018802,0
"E1306_294",0.00525277292676958,0.00619097433319434,0,2.04449276278721,0,0,0,0
"E1766_151",0.00193494969034952,0,0,0,0,0.428790501682359,1.82787462626722,0
"E1733_425",0.0171981333369238,0.260797501258153,0,1.68019488784573,0,0,0.0459513748805538,0.00938261607004086
"E1284_376",0.0340809200628615,0,0,2.49413645493539,0,0.0138675649524571,0.0321310137823641,0
"E596_73",1.20794253776549,1.03941418048323,1.98513794824723,0,0,1.74333957607948,1.02084921777636,1.92593770404724
"E1918_297",0,0.492506555303061,1.59309372012101,0,0,0.182351890969361,0.0180589472817541,2.16870609562619
"E388_326",0.0027055425344007,0,1.92563485125771,0.00291431775085649,2.40645975077618,0.0117475036885911,0,1.94084125644607
"E1338_291",0,0,0,1.72546919947614,1.52157668170451,0.192779096931895,0.00568318474064425,0
"E686_182",0,0.305080448191639,1.47268513761533,0,0,0.280343133077104,0,1.32679005333594
"E8_30",1.19137021656838,0.586427018518718,0.299192230304555,0.701852037518047,1.12159026017541,1.04572784168574,0.373186600204155,0
"E1226_497",0,0,0.00870194491031348,1.43295176953354,1.92794266942161,0,0,0
"E959_229",0.879364709827817,1.64128807031074,1.55343287306688,0,0,0.237476511317209,0,0
"E1227_170",0,0,0.196588850462739,0.205859165217446,0,0,1.63959829903387,2.02636994869141
"E12_419",0,0,0.0496201680898018,1.36903763881779,0,0,0,0.0281123232985462
"E125_447",1.64535352004635,1.92217376487925,1.51519699244423,0,0,0,0,2.0762033334292
"E553_423",0,0.00132936739143504,0,2.25357685139274,1.90046673462204,0,0,0
"E1263_308",0.0252280499840813,0,0,1.9528547782502,1.34231873936521,0.026544894793663,0.00763556565692297,0
"E1934_206",0,0,0,1.78880573948201,1.88411169955036,0,0,0
"E751_294",0.176646541064191,0,1.57592481253288,0,0,0,0,0
"E736_341",0,0,0,1.387166591233,0,0,0.0864359326776701,0.0140710338427277
"E1045_205",0,0.0390639037119007,0,1.12492545236058,0,0,0,0
"E1546_374",0.0199720546837966,0,0,0.122065152390221,2.03556240581002,0.0519207431715417,1.58018917216548,0
