"","Cebpa","EgrNab","Eklf","Fli1","Fog1","Gata1","Gata2","Gfi1","Pu1","Scl","cJun"
"E1174_20",0,0.00994956153507959,0,0.0900818463849631,0,0.0708958212464088,0.454201333341393,0,0,0.00432641732920102,0
"E1903_8",0,0,0,0.00213598022748641,0.000454488917147252,0.140242901280282,0.347072191980731,0,0,0,0.18314089464551
"E129_380",0.0846818822240077,1.61477454143416,0,0.0541803764037201,0,0,0.0489065225371931,0.0403997610313239,1.48859389080607,0.0784516781542059,0
"E680_716",0,1.85346960783607,0.0759749448012197,0.00727751920961522,0,0.000634995596695168,0.00231985045619733,0,1.65114799229512,0,2.2283739662998
"E1833_517",2.03736206509768,0,0.0307427889550661,0.0288049571062513,0,0.0379554521679281,0,2.23002571004656,0,0.0149068422337352,0.0531842699662478
"E694_352",0.0121928907082771,0,1.47350304566288,0.646332722827955,1.26976208193425,1.68357899390371,0.018843573832134,0.0841066374098929,0,2.12653701124043,0.0141568802521804
"E834_279",0,0.0283082645835111,1.64404619450789,0.709610796247594,1.84030147424217,2.04272340148074,1.25334340666407,0,0.0100046564090161,1.10709663994273,0
"E1102_88",0,0,0,0,0.0196677061927732,0,0,0,0,0.0729993828875698,1.85804230906472
"E391_772",0,1.81910772356012,0.0178378243867668,0.00261955961178362,0,0,0,0.0271668807288701,2.32615934954211,0,1.83504599683623
"E644_1",0,0,0.0210857225893654,0,0.00796857854152019,0,0.960658132725124,0,0,0,0
"E1536_390",0,0,0.163889366487456,1.25588591163737,1.63472031387656,2.01569973689499,0,0,0.0927056974873169,1.75641610008921,0
"E1393_431",0,0,2.05999998028285,0.00177283363200097,2.51960842853815,1.61932691923827,0,0.0208137247491535,0,2.13315482983266,0.00159928113280847
"E1413_560",0,1.89066173470065,0.0460467997393099,0,0.0150277004435798,0.00180929140167609,0.118848741042971,0,2.11760632564148,0,1.72825956022136
"E439_692",0,0,0.0422238292758113,0,0.0321488789800421,0,0.0330168641538065,0,2.27107499734236,0,0
"E1883_580",0,1.82471365632366,0.142328687670838,0,0,0,0,0,2.16073361889186,0,1.76621467708421
"E805_367",1.61852804001696,0.0117537288147214,0.000606911762975587,0.00138323513923178,0,0.027805133482877,0.00126329634147568,1.89263199961606,1.85052090943504,0,0
