"","AMH","CBX2","CTNNB1","DHH","DKK1","DMRT1","FGF9","FOXL2","GATA4","NR0B1","NR5A1","PGD2","RSPO1","SOX9","SRY","UGR","WNT4","WT1mKTS","WT1pKTS"
"E932_584",2.50766914607389,0.069512976958861,0.102238079470789,1.80169576633588,1.81324556968092,1.60157322179845,1.90774820490068,0.00114333617425938,1.57593818082985,0.099659372905285,2.4296349988773,1.73312621004677,0.000375471470975826,1.9778317754874,1.54356673585646,0.0136595989812974,0.0593193296887384,1.8808101790381,1.74418064416371
"E100_227",0.00664488310583825,0.550494414261826,0.0116190528238587,0.0150761696028801,1.34479475670382,1.21813329301304,0.0216188685283955,0.00691245167135344,1.88109367203326,2.09785358743581,1.89822749294091,0.0204907100349415,0.479366227901485,1.53220875280126,2.10928537220167,0.0419084130278021,1.60378078740941,1.95931047142049,1.54479437374701
"E533_130",0.0273545648734994,1.58074068027121,0.00539547425889617,0.0251041564169007,0.0204127556259101,0.00231367245788571,0.0479031143190588,0.0677956022855664,1.79325195369657,0.424871251393618,1.90160624555035,0.00940999436618485,0.0356773558963836,0.02417697859275,0.488946910088229,0.119100389659234,0.142659476485082,2.18507312404,1.9050049764483
"E1693_68",0.0200490398865499,1.83182757050504,0.0730575346924034,0.005914392058197,0.000634931438306845,0.00114867221671573,0.0151540262863899,0.0931607075143896,1.95175019310894,0.149458099090565,1.6125523043249,9.58611504946998e-05,0.0015453951522,0.000766291323483078,0.00421069704851118,0.986150085879271,0.0950053536206597,1.90969762827753,1.8844269490749
"E849_88",0.130704710426043,1.67135626937061,0.00954932819075824,0.00860636069046423,0.00688694763476497,0.0053437466646207,0.0284355553733427,0.00413293305840388,1.20954695266663,0.757586930491618,1.99552224384391,0.0340661540585458,0.0336271083433897,0.00201014081714477,0.361995815318709,1.39532811558037,0.314137471924469,1.76010204228309,2.19944628374283
"E327_382",0.0368658434559531,0.594351001886631,0.00713903923663731,0.00175807280280487,1.81951317310139,1.57089564619957,0.0228245073823406,0.00267797888883943,1.36324014330284,1.89088652733309,0.0728155610358344,0.0043452560192486,0.601534529514776,0.0254363960483034,1.71202355859077,0.0399995356433926,0.594968001599618,1.84704317592515,2.21826234760664
"E1357_559",0.00562888903481987,0.0295270960359621,1.83132922918788,0.00456456326943103,0.0010421135050886,0.00293192964562629,0.0424324151120977,1.70718407459341,1.58997795730706,1.71862609777431,0.0350931759420346,0.153870908216966,1.67171719303905,0.0220989949047911,0.00139078704687831,0.0941712763980861,2.51359969897893,2.42928784763506,0.00822964921658268
"E200_781",1.68269173870563,0.048111227538426,0.000436323621922648,2.25819638055017,1.58414945054658,2.1196187728282,1.73794357918026,0.0457060305944424,1.8173146189043,0.00909649755318654,1.55064546484354,1.63833596540987,0.00899116904189059,2.12923150250459,2.13421489744638,0.0247717384936162,0.109500298963619,2.2903708481145,1.29638926309962
"E658_533",0.00629495063196077,0.0197760865044201,0.00650451669467832,0.00123986164435396,2.24111980638635,1.72349296762373,0.0457097613384729,0.0241691644670942,1.5417300888844,1.8483566357906,0.880340339115706,0.0124680960275763,0.0204444232166275,0.478531946118123,1.81979303661414,0.00801394274069041,0.0974545784503726,1.89731627292631,1.94742966746282
"E51_125",0.0224853742407503,1.96907891740877,0.00570720502400167,0.030105453459404,0.0154120632131257,0.00278423232015949,0.0167905193447137,0.0375422175749025,1.9832561163293,1.841167527894,2.06096119979551,0.0669218747523348,0.00906520426267299,0.0020688175193944,0.0639238109686553,1.32195132738125,1.5066702976378,2.0973456856075,1.76557587526508
