"","AMH","CBX2","CTNNB1","DHH","DKK1","DMRT1","FGF9","FOXL2","GATA4","NR0B1","NR5A1","PGD2","RSPO1","SOX9","SRY","UGR","WNT4","WT1mKTS","WT1pKTS"
"E166_163",0,0.291292616651109,0,0,0.112666935342052,0.00616491704898902,0.0162396321686804,0,0,0,1.7253290850346,0,0,0,2.09102928898279,0.00653877953504377,2.26282472879924,0,0
"E820_188",0,1.95488986677199,0,0.00153923210288742,0.107552102974336,0.00658577258540377,0,0,0,1.81466023266208,2.3825947208726,0,0,0.0567717824144158,1.77873330912857,0,2.09354505715219,0,2.44125088255761
"E217_667",0,0,1.92707950092325,0.0378190835138944,0,0,0,2.90195446497245,0,0,0,0,2.33202793921777,0,0,0,2.00125346291699,0,0
"E1808_595",1.3473744789081,0,0,1.54356169702081,1.90278137603177,1.38224015822103,1.46717230806744,0.0018015485096612,0,0,1.29248318596287,1.1341272918974,0,2.10900380082536,1.64127524451751,0.00741512944776488,0.0114590117078732,0,2.15379666035754
"E152_767",0,0.0611643115929486,2.51160165037177,0,0.0112873401835281,0,0,1.81511081044207,0,0,0,0.0396796154270149,1.90828468227909,0.0178316063611223,0,0,1.5674880239277,2.08328487843645,0
"E1043_780",0.0030838555408303,0,0,0,0.00503057988944554,0,0.00119198481765189,1.7966415094573,0,1.92780445190871,0,0.042554713402411,2.12017193812505,0.0325136491505132,0.00986170829440481,0,0,0,0
"E1198_730",0,0.00894499194976402,1.98387075204531,0,0,0,0.0194791409710509,0,2.74959037521111,0,0,0,2.16415535885869,0,0,0,2.05331686542872,0,0
"E1232_728",0,0.0419955844347735,2.30014627635435,0.0429473646841798,0,0.00417491704930543,0.0112786995431356,1.81608162358757,1.7364798742661,0,0.00441835573206485,0,2.1978554430733,0,0.0178559303323947,0,0,0,0.00460720501846415
"E265_692",2.34404125014797,0.00647906257705347,0,2.91618025461363,2.30921215576823,1.79451644591873,2.25766360030835,0,2.16151434512925,0.0593208304662016,1.8417433404827,2.23762833662357,0,2.34129122528263,2.51470758421587,0,0.0508511168386711,2.18772561288861,1.83752481605453
"E9_243",0.0513640397589967,0,0,0,1.82149281107827,1.92937241010755,0.0123110793873142,0,1.69723581940719,2.12427185833715,1.01852387006149,0.00310789732002762,0.323904285803629,1.08583708166862,2.39591765033154,0.00592644621597859,0,2.21403841337925,1.90954620485068
"E543_624",0,0.0201807252312161,2.37234935026044,0.00225634248745506,0.00194812639821795,0.0188753170622601,0,1.47650063862832,0,2.36498990439581,0,0.0176024088736626,1.39487902573088,0,0,0,2.12133364392482,2.01225979038299,0
"E1000_598",0,0.00664412303692044,2.09346297029512,0,0,0.00611540535214836,0.00485285455703769,2.13011399175332,2.03703729380971,2.47516504459372,0,0,0,0.0160959258643318,4.48144237189733e-05,0,0,0,0
